Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
27-09-2021,15:42,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-249,144.1800,USD,35900.82,USD,308922.98,NOK,0.1162,-13.62,NOK,308909.36,NOK,1916e1d8-38ed-4bb1-b43b-bf9922413677
27-09-2021,15:42,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,-34,293.7110,USD,9986.17,USD,85947.97,NOK,0.1162,-6.21,NOK,85941.76,NOK,076a30f8-770b-4b66-a28a-c934a7b4e286
21-09-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,4,294.9000,USD,-1179.60,USD,-10246.84,NOK,0.1151,-5.24,NOK,-10252.08,NOK,d94b173c-b7dc-4330-be1e-f65f7cbc1992
21-09-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,30,294.8400,USD,-8845.20,USD,-76829.89,NOK,0.1151,-6.14,NOK,-76836.03,NOK,936b2798-51fc-49dc-9baa-4213c09d69e7
21-09-2021,15:31,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,63,143.4500,USD,-9037.35,USD,-78501.95,NOK,0.1151,-7.29,NOK,-78509.24,NOK,00ea4305-f6c8-484e-87c1-bb3db3e6a023
21-09-2021,15:31,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,186,143.4300,USD,-26677.98,USD,-231727.81,NOK,0.1151,-11.57,NOK,-231739.38,NOK,b49db3ea-bff8-46a4-a206-1a1f26a0beea
17-09-2021,17:05,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,-62,300.6700,USD,18641.54,USD,161779.37,NOK,0.1152,-7.25,NOK,161772.12,NOK,1bd66cb3-8edc-40e7-8f1d-dfef09158141
17-09-2021,17:04,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-87,146.6800,USD,12761.16,USD,110739.62,NOK,0.1152,-3.02,NOK,110736.60,NOK,f8e7d124-f6f8-48ac-895f-a75135a47913
17-09-2021,17:04,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,-100,146.6800,USD,14668.00,USD,127286.92,NOK,0.1152,-8.57,NOK,127278.35,NOK,f8e7d124-f6f8-48ac-895f-a75135a47913
14-09-2021,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,56,299.9000,USD,-16794.40,USD,-144200.78,NOK,0.1165,-1.93,NOK,-144202.71,NOK,de167699-1317-4aa9-98ce-a5a9fca8cc92
14-09-2021,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,6,299.9000,USD,-1799.40,USD,-15450.08,NOK,0.1165,-5.30,NOK,-15455.38,NOK,de167699-1317-4aa9-98ce-a5a9fca8cc92
14-09-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,XNAS,187,150.3500,USD,-28115.45,USD,-241395.56,NOK,0.1165,-11.52,NOK,-241407.08,NOK,9a0c8e52-51b1-4bd4-a674-c19a6de7e4dd
