Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
11-11-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,2,332.4300,USD,-664.86,USD,-5770.97,NOK,0.1152,-5.07,NOK,-5776.04,NOK,d85cdd0a-b372-4f58-aed4-bdf891e402c4
11-11-2021,15:31,ALPHABET INC. - CLASS A,US02079K3059,NDQ,SOHO,1,2936.0000,USD,-2936.00,USD,-25490.31,NOK,0.1152,-4.98,NOK,-25495.29,NOK,2148b8c8-8e65-4fbf-a65d-cac128be4368
11-11-2021,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,20,331.6300,USD,-6632.60,USD,-57572.75,NOK,0.1152,-5.67,NOK,-57578.42,NOK,c5ab2958-4e18-44d2-8eac-137d1b096b83
09-11-2021,16:13,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-15,336.6800,USD,5050.20,USD,43067.10,NOK,0.1173,-5.45,NOK,43061.65,NOK,f4bae557-4144-4dd3-a250-b04ee96838fa
09-11-2021,16:13,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,-2,2949.6500,USD,5899.30,USD,50308.57,NOK,0.1173,-5.03,NOK,50303.54,NOK,3739ed78-e082-4c37-a781-cca740a8db6d
29-10-2021,16:49,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,5,328.4100,USD,-1642.05,USD,-13851.71,NOK,0.1185,-0.17,NOK,-13851.88,NOK,6a2f7faf-f67c-467f-9d54-94362942695c
29-10-2021,16:49,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,10,328.4100,USD,-3284.10,USD,-27703.42,NOK,0.1185,-5.24,NOK,-27708.65,NOK,6a2f7faf-f67c-467f-9d54-94362942695c
29-10-2021,16:47,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,2,2919.6400,USD,-5839.28,USD,-49226.21,NOK,0.1186,-4.97,NOK,-49231.19,NOK,ebee979b-9924-443b-9110-c95394bf07db
22-10-2021,17:27,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-22,308.8400,USD,6794.48,USD,56877.70,NOK,0.1195,-5.62,NOK,56872.08,NOK,a841e561-a7c4-4e33-ba26-6b1a58856fe5
22-10-2021,17:27,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,-28,149.1500,USD,4176.20,USD,34961.67,NOK,0.1195,-5.79,NOK,34955.88,NOK,43ef400a-462f-4512-8cac-fe386a89880d
05-10-2021,15:46,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,1,139.5900,USD,-139.59,USD,-1193.94,NOK,0.1168,-4.99,NOK,-1198.93,NOK,30b0b4b0-e82d-4e35-b39e-97923d77938f
05-10-2021,15:40,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,3,139.7700,USD,-419.31,USD,-3586.84,NOK,0.1168,-5.06,NOK,-3591.90,NOK,8177c39a-f849-4a0a-a946-330ed5b31247
05-10-2021,15:40,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,24,139.8100,USD,-3355.44,USD,-28693.50,NOK,0.1168,-5.78,NOK,-28699.28,NOK,8a75a875-afb2-43cc-af82-ff984333956a
05-10-2021,15:39,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,22,284.4400,USD,-6257.68,USD,-53515.07,NOK,0.1168,-5.71,NOK,-53520.78,NOK,b5b6470c-c31f-4811-8c7d-829b1fc2bb23
04-10-2021,15:46,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,-21,284.5800,USD,5976.18,USD,51103.07,NOK,0.1168,-5.71,NOK,51097.36,NOK,804d3570-d319-43ce-a28c-bf312f924eba
04-10-2021,15:46,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-29,140.7200,USD,4080.88,USD,34893.47,NOK,0.1168,-5.98,NOK,34887.49,NOK,f29cafbe-57e6-4cfd-a4ba-d34313b22ee9
01-10-2021,15:34,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,3,281.9200,USD,-845.76,USD,-7296.85,NOK,0.1158,-5.11,NOK,-7301.96,NOK,8eb5d6a8-4250-483f-965a-5e610843440d
01-10-2021,15:33,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,18,282.0700,USD,-5077.26,USD,-43791.86,NOK,0.1158,-5.63,NOK,-43797.49,NOK,bf709670-b124-4fe6-986a-650064381646
01-10-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,29,141.6700,USD,-4108.43,USD,-35448.93,NOK,0.1158,-6.01,NOK,-35454.94,NOK,647db6b7-0f9a-4a20-bc1d-84ebd4ea1552
27-09-2021,15:43,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-27,144.1500,USD,3892.05,USD,33404.55,NOK,0.1164,-5.96,NOK,33398.59,NOK,5bd96114-6cb8-4a58-80a5-9e8c4d187192
27-09-2021,15:43,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-2,293.9900,USD,587.98,USD,5047.75,NOK,0.1164,-0.07,NOK,5047.68,NOK,b82a33f5-10ca-4895-970b-a1c8027e6000
27-09-2021,15:43,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-1,294.0000,USD,294.00,USD,2523.96,NOK,0.1164,-0.03,NOK,2523.93,NOK,b82a33f5-10ca-4895-970b-a1c8027e6000
27-09-2021,15:43,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-18,294.0000,USD,5292.00,USD,45431.29,NOK,0.1164,-5.66,NOK,45425.63,NOK,b82a33f5-10ca-4895-970b-a1c8027e6000
21-09-2021,15:35,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,6,143.6000,USD,-861.60,USD,-7482.40,NOK,0.1150,-5.31,NOK,-7487.71,NOK,72078db6-48ae-48a3-be6a-c5491c12c92f
21-09-2021,15:35,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,21,143.6500,USD,-3016.65,USD,-26197.70,NOK,0.1150,-5.83,NOK,-26203.53,NOK,5b2b8109-803c-4ae0-93f3-5bb446375494
21-09-2021,15:34,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,21,294.3500,USD,-6181.35,USD,-53696.76,NOK,0.1150,-5.83,NOK,-53702.59,NOK,18148fa8-ae97-4a9e-95e3-088450bb1041
17-09-2021,17:06,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-14,300.5800,USD,4208.12,USD,36447.36,NOK,0.1153,-5.59,NOK,36441.77,NOK,4ac1b2f5-99f8-403f-8e60-6d23670f95dd
17-09-2021,17:06,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-41,146.6300,USD,6011.83,USD,52072.55,NOK,0.1153,-6.52,NOK,52066.03,NOK,c7b57526-668d-4c0b-aed1-1841cc8d2c52
14-09-2021,15:42,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,41,150.4700,USD,-6169.27,USD,-53086.19,NOK,0.1161,-6.50,NOK,-53092.69,NOK,160b7eb0-f0ed-49da-9ac3-b0836d235b02
14-09-2021,15:41,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,14,298.5600,USD,-4179.84,USD,-35960.69,NOK,0.1161,-5.57,NOK,-35966.26,NOK,cc81bc17-c603-4988-ac3e-77d8d3996c10
